Java HotSpot(TM) 64-Bit Server VM (25.121-b13) for windows-amd64 JRE (1.8.0_121-b13), built on Dec 12 2016 18:21:36 by "java_re" with MS VC++ 10.0 (VS2010)
Memory: 4k page, physical 8096224k(3274140k free), swap 15733820k(4340300k free)
CommandLine flags: -XX:InitialHeapSize=536870912 -XX:InitialTenuringThreshold=1 -XX:MaxHeapSize=536870912 -XX:MaxNewSize=1048576 -XX:MaxTenuringThreshold=1 -XX:NewSize=1048576 -XX:PretenureSizeThreshold=50 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseSerialGC 
3.065: [GC (Allocation Failure) 3.065: [DefNew: 960K->64K(960K), 0.0029915 secs] 15668K->15206K(524224K), 0.0031525 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.072: [GC (Allocation Failure) 3.072: [DefNew: 960K->64K(960K), 0.0027254 secs] 16102K->15640K(524224K), 0.0029141 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.085: [GC (Allocation Failure) 3.085: [DefNew: 960K->64K(960K), 0.0028059 secs] 16536K->16074K(524224K), 0.0029571 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.091: [GC (Allocation Failure) 3.091: [DefNew: 960K->64K(960K), 0.0022205 secs] 16970K->16508K(524224K), 0.0023583 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.098: [GC (Allocation Failure) 3.098: [DefNew: 960K->64K(960K), 0.0028351 secs] 17682K->17220K(524224K), 0.0029930 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.104: [GC (Allocation Failure) 3.104: [DefNew: 960K->64K(960K), 0.0026322 secs] 18116K->17654K(524224K), 0.0027807 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.110: [GC (Allocation Failure) 3.110: [DefNew: 960K->64K(960K), 0.0027001 secs] 18550K->18088K(524224K), 0.0028509 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.117: [GC (Allocation Failure) 3.117: [DefNew: 960K->64K(960K), 0.0022008 secs] 18984K->18522K(524224K), 0.0023109 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.122: [GC (Allocation Failure) 3.122: [DefNew: 960K->64K(960K), 0.0024400 secs] 19418K->18956K(524224K), 0.0025580 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.127: [GC (Allocation Failure) 3.127: [DefNew: 960K->64K(960K), 0.0015972 secs] 19852K->19390K(524224K), 0.0017014 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.131: [GC (Allocation Failure) 3.131: [DefNew: 960K->64K(960K), 0.0017827 secs] 20703K->20241K(524224K), 0.0018842 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.134: [GC (Allocation Failure) 3.134: [DefNew: 960K->64K(960K), 0.0020208 secs] 21137K->20675K(524224K), 0.0021329 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.138: [GC (Allocation Failure) 3.138: [DefNew: 960K->64K(960K), 0.0023247 secs] 21571K->21109K(524224K), 0.0024408 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.142: [GC (Allocation Failure) 3.142: [DefNew: 960K->64K(960K), 0.0022288 secs] 22005K->21543K(524224K), 0.0023658 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.146: [GC (Allocation Failure) 3.146: [DefNew: 960K->64K(960K), 0.0026934 secs] 22439K->21977K(524224K), 0.0028419 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.151: [GC (Allocation Failure) 3.151: [DefNew: 960K->64K(960K), 0.0026374 secs] 22873K->22410K(524224K), 0.0027621 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.155: [GC (Allocation Failure) 3.155: [DefNew: 960K->64K(960K), 0.0025584 secs] 23306K->22843K(524224K), 0.0026930 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
3.159: [GC (Allocation Failure) 3.159: [DefNew: 960K->64K(960K), 0.0017819 secs] 23739K->23277K(524224K), 0.0018822 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.163: [GC (Allocation Failure) 3.163: [DefNew: 960K->64K(960K), 0.0022991 secs] 24173K->23711K(524224K), 0.0024053 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.167: [GC (Allocation Failure) 3.167: [DefNew: 960K->64K(960K), 0.0024854 secs] 24607K->24144K(524224K), 0.0026176 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.172: [GC (Allocation Failure) 3.172: [DefNew: 960K->64K(960K), 0.0022391 secs] 25040K->24578K(524224K), 0.0023666 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.175: [GC (Allocation Failure) 3.175: [DefNew: 960K->64K(960K), 0.0026816 secs] 25474K->25335K(524224K), 0.0028170 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.181: [GC (Allocation Failure) 3.181: [DefNew: 960K->64K(960K), 0.0027696 secs] 26231K->25769K(524224K), 0.0029216 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.185: [GC (Allocation Failure) 3.185: [DefNew: 960K->64K(960K), 0.0018715 secs] 26665K->26203K(524224K), 0.0019927 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.188: [GC (Allocation Failure) 3.188: [DefNew: 960K->64K(960K), 0.0024581 secs] 27099K->26637K(524224K), 0.0025782 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.193: [GC (Allocation Failure) 3.193: [DefNew: 960K->64K(960K), 0.0017440 secs] 27533K->27071K(524224K), 0.0018565 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.196: [GC (Allocation Failure) 3.196: [DefNew: 960K->64K(960K), 0.0022347 secs] 27967K->27505K(524224K), 0.0023401 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.199: [GC (Allocation Failure) 3.199: [DefNew: 960K->64K(960K), 0.0025024 secs] 28401K->27939K(524224K), 0.0026121 secs] [Times: user=0.02 sys=0.00, real=0.00 secs] 
3.203: [GC (Allocation Failure) 3.203: [DefNew: 960K->64K(960K), 0.0025955 secs] 28835K->28373K(524224K), 0.0027096 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.209: [GC (Allocation Failure) 3.209: [DefNew: 960K->64K(960K), 0.0022722 secs] 29269K->28807K(524224K), 0.0023871 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.218: [GC (Allocation Failure) 3.218: [DefNew: 960K->64K(960K), 0.0021179 secs] 29703K->29241K(524224K), 0.0022280 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.221: [GC (Allocation Failure) 3.221: [DefNew: 960K->64K(960K), 0.0016718 secs] 30137K->29675K(524224K), 0.0017642 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
